REGISTERENHETID,BRUKSENHETSID,SALGS_DOKUMENTAAR,SALGSBELOEP,BRUKSAREAL,POSTNUMMER,GATENAVN,BEBYGDAREAL,BRUKSENHETSTYPEKODE,ANTALLROM,DOKUMENTDATO
628728926,60941838,2021,3200000,109,9027,Svingbakken,1,Bolig,4,27/08/2021
234454436,60931557,2019,1625000,42,9006,Sjøstranda,315,Bolig,2,13/11/2019
234617002,60956654,2019,1150000,76,9007,Hjalmar Johansens gate,502,Bolig,2,22/05/2019
276747063,470870972,2020,4150000,69,9006,Strandvegen,371,Bolig,3,24/11/2020
4166556,60914496,2019,2450000,62,9008,Paul Bjørviks gate,0,Bolig,2,24/06/2019
4099402,61048329,2021,2010000,28,9019,Mekanikervegen,0,Bolig,1,23/08/2021
234454481,61202394,2020,2450000,44,9020,Solstrandvegen,525,Bolig,2,27/05/2020
3139629,61196255,2021,5700000,170,9010,Kårvikvegen,0,Bolig,4,10/05/2021
3125352,61085294,2023,6000000,228,9022,B A Løvolds veg,0,Bolig,6,08/09/2023
4098392,60857260,2019,3650000,75,9017,Langbølgen,0,Bolig,3,24/06/2019
876633796,61007563,2022,3300000,107,9010,Dramsvegen,0,Bolig,3,01/09/2022
876633799,61007564,2022,425000,67,9010,Dramsvegen,0,Bolig,2,25/11/2022
4141791,60956696,2020,2800000,59,9008,Vestregata,0,Bolig,2,28/09/2020
270837320,60909992,2019,2550000,85,9021,Lauksletta,0,Bolig,3,24/07/2019
270837320,60909992,2019,2550000,85,9021,Lauksletta,0,Bolig,3,24/07/2019
234452694,61046087,2023,2000000,62,9018,Knausen,0,Bolig,2,08/09/2023
3124434,61174105,2023,2780000,140,9023,Ullstindvegen,0,Bolig,3,22/09/2023
4293173,60934766,2022,4825000,101,9006,Mellomvegen,0,Bolig,3,20/09/2022
4293173,60934766,2022,4825000,101,9006,Mellomvegen,0,Bolig,3,20/09/2022
448042593,589564123,2020,3950000,89,9104,Sandskjellvegen,200,Bolig,3,22/01/2020
862265815,6391086813,2021,2790000,36,9006,Juldagan,700,Bolig,1,29/09/2021
1023034394,61059555,2022,3600000,70,9020,Vengsøyvegen,0,Bolig,3,04/10/2022
1045035207,6281128043,2023,5150000,53,9008,Gjøastredet,10623,Bolig,3,08/03/2023
4310414,61020782,2019,2780000,55,9008,Fogd Drejers gate,13,Bolig,3,04/09/2019
4310414,61020782,2019,2780000,55,9008,Fogd Drejers gate,13,Bolig,3,04/09/2019
234455756,61083795,2020,3800000,107,9022,B A Løvolds veg,0,Bolig,4,03/02/2020
3599956,60955397,2020,730000,183,9016,Draugen,81,Bolig,5,11/06/2020
4214362,60941732,2021,350000,13,9024,Tomasjordnes,2589,Annet en bolig,1,30/06/2021
264324339,60941646,2021,2550000,44,9024,Tomasjordnes,2589,Bolig,2,16/06/2021
4214362,60941732,2021,350000,13,9024,Tomasjordnes,2589,Annet en bolig,1,30/06/2021
264324339,60941646,2021,2550000,44,9024,Tomasjordnes,2589,Bolig,2,16/06/2021
234596593,60943384,2020,1595000,59,9013,Wanny Woldstads veg,0,Bolig,3,20/08/2020
